id,paper_id,primers,longitude,latitude,continent,sample_type,its1_extracted,its2_extracted,its_total,biome,mat,map,ph,year_of_start,year_of_end,abundances
8561,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.3162,57.9126,Europe,soil,5856,5245,11101,forest,5.7,656,NA_,2019,2019,37
8568,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,24.9524,59.0255,Europe,soil,1889,1528,3417,forest,5.7,718,NA_,2016,2016,2
8575,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.6224,57.9918,Europe,soil,3845,3615,7460,forest,5.2,674,NA_,2017,2017,5
8577,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.3008,57.4384,Europe,soil,3086,2173,5259,forest,5.5,639,NA_,2015,2015,2
8582,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.4863,58.237,Europe,soil,1183,900,2083,forest,5.5,661,NA_,2013,2013,6
8589,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.405,57.9264,Europe,soil,2412,2265,4677,forest,5.8,609,NA_,2013,2013,5
8592,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.3879,58.0412,Europe,soil,2950,2711,5661,forest,5.1,643,NA_,2017,2017,5
8593,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.4968,58.4872,Europe,soil,3604,3353,6957,forest,5.6,643,NA_,2017,2017,1
8598,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.9465,58.6937,Europe,soil,2043,1817,3860,forest,5.4,680,NA_,2015,2015,2
8599,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.419,58.1237,Europe,soil,3892,3716,7608,forest,5.4,661,NA_,2017,2017,29
8602,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.031,58.4203,Europe,soil,3928,3581,7509,forest,5.6,640,NA_,2017,2017,2
8608,Bahram_2020_AZ,ITS9MUNngs/ITS4ngsUni,27.3008,57.4384,Europe,soil,2795,1960,4755,forest,5.5,639,4.29,2015,2015,2
8625,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.7955,58.3939,Europe,soil,5062,4212,9274,forest,5.5,660,NA_,2020,2020,9
8637,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.2721,58.2465,Europe,soil,10117,8981,19098,forest,5.8,625,NA_,2017,2017,3
8644,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.9201,57.7499,Europe,soil,2939,2823,5762,forest,5.2,732,NA_,2017,2017,6
8646,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,22.6804,57.0776,Europe,soil,1631,1484,3115,forest,6.6,676,NA_,2019,2019,2
